epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.447,1.43069,2.60974,1.47245,0.83391,0.17713,0.2652,0.16105,1.29317,3.10105,1.40176,0.000407197,0.000407197,0.000407197
2,251.087,1.3505,1.64221,1.34463,0.46807,0.45589,0.49035,0.29586,1.40722,2.36422,1.45642,0.000796676,0.000796676,0.000796676
3,372.919,1.31993,1.52752,1.33919,0.55555,0.53738,0.54671,0.27551,1.71043,2.17782,1.77878,0.00115866,0.00115866,0.00115866
4,500.296,1.32324,1.46624,1.34443,0.69485,0.61362,0.68867,0.39111,1.38542,1.56933,1.47233,0.00112625,0.00112625,0.00112625
5,626.214,1.30121,1.412,1.30799,0.7827,0.66612,0.74948,0.41929,1.41245,1.46035,1.46481,0.001085,0.001085,0.001085
6,751.058,1.28033,1.34135,1.3003,0.73839,0.6814,0.74887,0.43607,1.39336,1.41483,1.45565,0.00104375,0.00104375,0.00104375
7,879.192,1.24787,1.26247,1.27147,0.76983,0.72154,0.78552,0.47086,1.36465,1.25772,1.41912,0.0010025,0.0010025,0.0010025
8,1006.3,1.23386,1.25405,1.27785,0.79131,0.73032,0.80745,0.48213,1.27841,1.24576,1.37079,0.00096125,0.00096125,0.00096125
9,1135.64,1.19767,1.21459,1.26438,0.75881,0.75947,0.8145,0.51025,1.23189,1.22915,1.33417,0.00092,0.00092,0.00092
10,1261.4,1.19159,1.22151,1.26084,0.71309,0.70405,0.75798,0.46925,1.29039,1.33052,1.36045,0.00087875,0.00087875,0.00087875
11,1388.72,1.15383,1.1291,1.22379,0.81949,0.74566,0.83009,0.5265,1.22249,1.11917,1.31761,0.0008375,0.0008375,0.0008375
12,1515.67,1.15078,1.10551,1.21701,0.81503,0.76932,0.84422,0.52438,1.23435,1.10206,1.33262,0.00079625,0.00079625,0.00079625
13,1639.16,1.16327,1.09074,1.2237,0.77263,0.77424,0.83985,0.54175,1.20831,1.09345,1.2899,0.000755,0.000755,0.000755
14,1763.41,1.09859,1.02639,1.19469,0.8165,0.77164,0.844,0.54694,1.18779,1.01774,1.29564,0.00071375,0.00071375,0.00071375
15,1891.9,1.09926,1.01185,1.18691,0.80683,0.81094,0.85506,0.54795,1.17879,1.03382,1.28299,0.0006725,0.0006725,0.0006725
16,2021.11,1.10047,0.98389,1.18091,0.83305,0.82573,0.87824,0.57275,1.18274,0.94439,1.29379,0.00063125,0.00063125,0.00063125
17,2147.58,1.09466,0.96863,1.18475,0.85869,0.81317,0.87694,0.58099,1.17202,0.93064,1.28402,0.00059,0.00059,0.00059
18,2275.6,1.08224,0.96515,1.16781,0.8548,0.8254,0.88535,0.58785,1.13154,0.89123,1.26877,0.00054875,0.00054875,0.00054875
19,2402.42,1.04934,0.91918,1.16412,0.81503,0.82044,0.87081,0.588,1.11325,0.92569,1.24398,0.0005075,0.0005075,0.0005075
20,2527.25,1.02185,0.91527,1.15765,0.87089,0.80808,0.88872,0.59206,1.13324,0.86985,1.26126,0.00046625,0.00046625,0.00046625
21,2653.74,0.99819,0.83181,1.13435,0.84748,0.82168,0.89122,0.59638,1.11604,0.88756,1.23817,0.000425,0.000425,0.000425
22,2775.49,0.99507,0.79664,1.135,0.86429,0.78713,0.88134,0.60195,1.11414,0.88623,1.23736,0.00038375,0.00038375,0.00038375
23,2897.89,0.95077,0.75774,1.11413,0.85723,0.85247,0.90647,0.62049,1.09354,0.8204,1.22443,0.0003425,0.0003425,0.0003425
24,3020.99,0.94701,0.74604,1.11058,0.86829,0.82463,0.89877,0.61924,1.08712,0.81445,1.22406,0.00030125,0.00030125,0.00030125
25,3144.52,0.92957,0.72008,1.09038,0.89362,0.82461,0.89584,0.61896,1.06491,0.82407,1.21043,0.00026,0.00026,0.00026
26,3270.95,0.92509,0.71858,1.08889,0.87081,0.85865,0.9077,0.62479,1.06659,0.80289,1.20447,0.00021875,0.00021875,0.00021875
27,3392.39,0.90659,0.68462,1.08174,0.90624,0.84528,0.91154,0.63285,1.06494,0.76893,1.2074,0.0001775,0.0001775,0.0001775
28,3514.83,0.89649,0.68093,1.07003,0.87531,0.85532,0.91327,0.63448,1.06269,0.77463,1.2025,0.00013625,0.00013625,0.00013625
29,3638.03,0.87318,0.65554,1.06228,0.85405,0.88108,0.9149,0.64146,1.04156,0.75465,1.19517,9.5e-05,9.5e-05,9.5e-05
30,3760.94,0.86493,0.65718,1.05833,0.8682,0.87152,0.91928,0.64549,1.03919,0.74543,1.18598,5.375e-05,5.375e-05,5.375e-05
