epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2161.51,1.70279,1.15624,1.33351,0.79186,0.61015,0.67629,0.34129,1.64093,0.94714,1.36676,0.000474465,0.000474465,0.000474465
2,4745.01,1.58991,0.9348,1.28045,0.7556,0.60565,0.69963,0.36539,1.58527,0.86389,1.34621,0.000931973,0.000931973,0.000931973
3,2125.4,1.55419,0.90467,1.26993,0.64757,0.58604,0.70405,0.37186,1.53661,0.90742,1.32738,0.00137062,0.00137062,0.00137062
4,4110.77,1.50405,0.87969,1.24721,0.63728,0.72497,0.74628,0.40229,1.53108,0.85258,1.32415,0.00134412,0.00134412,0.00134412
5,6196.54,1.49257,0.87339,1.24594,0.78718,0.70057,0.78148,0.43088,1.48765,0.80833,1.30732,0.00131582,0.00131582,0.00131582
6,8324.47,1.45729,0.86333,1.23103,0.77567,0.68342,0.76302,0.41754,1.45261,0.85856,1.28467,0.00128753,0.00128753,0.00128753
7,12070.6,1.43774,0.85826,1.22205,0.75177,0.71085,0.75958,0.4341,1.44768,0.8115,1.28563,0.00125923,0.00125923,0.00125923
8,16350.9,1.42154,0.84494,1.21452,0.82241,0.71027,0.79344,0.45313,1.42815,0.8194,1.28359,0.00123094,0.00123094,0.00123094
9,20677.8,1.40148,0.83454,1.20466,0.7899,0.69369,0.78023,0.45131,1.38383,0.81211,1.26118,0.00120265,0.00120265,0.00120265
10,23854.9,1.38447,0.83787,1.20214,0.84342,0.67487,0.78624,0.45132,1.39255,0.82228,1.26825,0.00117435,0.00117435,0.00117435
11,25841.5,1.38466,0.83954,1.19879,0.76374,0.70929,0.7933,0.45993,1.36647,0.80801,1.25887,0.00114606,0.00114606,0.00114606
12,27833.9,1.35426,0.83016,1.18299,0.76641,0.74147,0.79207,0.45933,1.35322,0.82283,1.25101,0.00111776,0.00111776,0.00111776
13,29810.4,1.33487,0.8254,1.17683,0.79726,0.70299,0.778,0.4583,1.3397,0.80495,1.23797,0.00108947,0.00108947,0.00108947
14,31824.4,1.33432,0.8223,1.17719,0.78621,0.7195,0.79558,0.46557,1.31831,0.80311,1.22788,0.00106118,0.00106118,0.00106118
15,33783.3,1.32113,0.82213,1.16762,0.78422,0.72884,0.79586,0.46866,1.34494,0.81167,1.23436,0.00103288,0.00103288,0.00103288
16,35721.6,1.30789,0.81937,1.16501,0.74456,0.74094,0.78835,0.45752,1.3223,0.79848,1.23032,0.00100459,0.00100459,0.00100459
17,37662.6,1.29386,0.8206,1.15941,0.79454,0.6918,0.78645,0.46609,1.29875,0.80747,1.21898,0.000976293,0.000976293,0.000976293
18,39628.4,1.28642,0.81191,1.15674,0.79382,0.72571,0.79524,0.47863,1.30122,0.7888,1.22504,0.000947999,0.000947999,0.000947999
19,41584.8,1.26833,0.81278,1.14994,0.74495,0.74711,0.79268,0.47897,1.28366,0.7902,1.2148,0.000919704,0.000919704,0.000919704
20,43509.1,1.26731,0.80794,1.14597,0.80173,0.71557,0.79712,0.48006,1.26934,0.80371,1.21206,0.00089141,0.00089141,0.00089141
21,45422.3,1.25278,0.81133,1.14278,0.78236,0.70021,0.80397,0.47735,1.26562,0.79936,1.20359,0.000863116,0.000863116,0.000863116
22,47307.8,1.25023,0.80756,1.13637,0.72417,0.741,0.7919,0.46893,1.2685,0.80662,1.2015,0.000834822,0.000834822,0.000834822
23,49206.1,1.239,0.80789,1.13315,0.75277,0.73006,0.79557,0.47946,1.24542,0.80818,1.18958,0.000806528,0.000806528,0.000806528
24,51083.1,1.23169,0.80959,1.12572,0.72748,0.74691,0.78804,0.47226,1.24001,0.80853,1.19234,0.000778233,0.000778233,0.000778233
25,52892.4,1.22181,0.80686,1.12271,0.75156,0.74918,0.79447,0.47875,1.23724,0.81173,1.19151,0.000749939,0.000749939,0.000749939
26,54735.1,1.20179,0.80049,1.12147,0.77165,0.70602,0.79118,0.47209,1.2233,0.81162,1.18326,0.000721645,0.000721645,0.000721645
27,56589.1,1.2004,0.80489,1.11864,0.69795,0.75159,0.78595,0.47327,1.23223,0.81185,1.17999,0.000693351,0.000693351,0.000693351
28,58442.8,1.20018,0.80532,1.1151,0.78506,0.70846,0.79575,0.48532,1.20652,0.80126,1.17373,0.000665057,0.000665057,0.000665057
29,60306.1,1.18963,0.79933,1.11641,0.76394,0.74438,0.80673,0.49298,1.20739,0.80987,1.17369,0.000636762,0.000636762,0.000636762
30,62245.6,1.17725,0.80454,1.10663,0.77947,0.72731,0.79159,0.48062,1.19893,0.80195,1.1696,0.000608468,0.000608468,0.000608468
